Species1	Species2	Values
Saccharomyces cerevisiae	[Ruminococcus] torques	-0.39571430086372
Saccharomyces cerevisiae	[Ruminococcus] gnavus	-0.23183848664485
Saccharomyces cerevisiae	[Eubacterium] rectale	-0.345605300703499
Saccharomyces cerevisiae	Anaerobutyricum hallii	-0.29536144690479
Saccharomyces cerevisiae	Coprococcus comes	-0.348338430088677
Saccharomyces cerevisiae	[Clostridium] scindens	-0.317846276876484
Saccharomyces cerevisiae	Dorea longicatena	-0.293584192712588
Saccharomyces cerevisiae	Enterocloster bolteae	-0.218445929780055
Saccharomyces cerevisiae	Oscillospiraceae bacterium	-0.353858064113381
Saccharomyces cerevisiae	Ruminococcus sp. SR1/5	0.155668018997072
Saccharomyces cerevisiae	Clostridium sp. AWRP	0.0731726656051974
Saccharomyces cerevisiae	Clostridium neonatale	-0.11535855043514
Saccharomyces cerevisiae	Eubacterium callanderi	-0.247214285698311
Saccharomyces cerevisiae	Mogibacterium diversum	-0.17747352028079
Saccharomyces cerevisiae	uncultured Clostridia bacterium	-0.405394081782347
Saccharomyces cerevisiae	Erysipelatoclostridium ramosum	0.0843244040696708
Saccharomyces cerevisiae	[Clostridium] innocuum	-0.308569823548729
Saccharomyces cerevisiae	Erysipelotrichaceae bacterium 66202529	-0.0693983752325447
Saccharomyces cerevisiae	Parvimonas micra	-0.00623204235854236
Saccharomyces cerevisiae	Actinomyces graevenitzii	0.172929691023828
Saccharomyces cerevisiae	Schaalia odontolytica	0.0167908955388769
Saccharomyces cerevisiae	Bifidobacterium longum	-0.160548569669228
Saccharomyces cerevisiae	Eggerthella lenta	-0.35454049567667
Saccharomyces cerevisiae	Collinsella aerofaciens	-0.302934405955885
Saccharomyces cerevisiae	Escherichia coli	0.03649866739011
Saccharomyces cerevisiae	Klebsiella pneumoniae	-0.0801959839037165
Saccharomyces cerevisiae	Polynucleobacter sp. MG-Unter2-18	0.572913845369478
Saccharomyces cerevisiae	Bacteroides thetaiotaomicron	-0.215350081627798
Saccharomyces cerevisiae	Bacteroides uniformis	-0.173873791753584
Saccharomyces cerevisiae	Phocaeicola dorei	-0.176443509971353
Saccharomyces cerevisiae	Phocaeicola vulgatus	-0.3150980417157
Saccharomyces cerevisiae	Parabacteroides distasonis	-0.293103151336971
Saccharomyces cerevisiae	Parabacteroides merdae	-0.234906298338394
Saccharomyces cerevisiae	Tepiditoga spiralis	0.19914099120674
Saccharomyces cerevisiae	uncultured human fecal virus	-0.109394447506309
Saccharomyces cerevisiae	Sellimonas intestinalis	-0.221907206829312
Saccharomyces cerevisiae	Clostridium perfringens	-0.0828927199982198
Saccharomyces cerevisiae	Clostridiaceae bacterium Marseille-Q4149	-0.0602596473345567
Saccharomyces cerevisiae	Lactococcus lactis	0.0383746651354206
Saccharomyces cerevisiae	Limosilactobacillus oris	-0.255801620289717
Saccharomyces cerevisiae	Megasphaera massiliensis	-0.0743708696736877
Saccharomyces cerevisiae	Bifidobacterium adolescentis	-0.201664665711642
Saccharomyces cerevisiae	Bifidobacterium pseudocatenulatum	0.00342575297278573
Saccharomyces cerevisiae	Bifidobacterium bifidum	0.0793198222589137
Saccharomyces cerevisiae	Collinsella stercoris	-0.24385286745089
Saccharomyces cerevisiae	Bacteroides salyersiae	-0.035148377946402
Saccharomyces cerevisiae	Listeria monocytogenes	-0.0948890815740177
Saccharomyces cerevisiae	Streptococcus lutetiensis	0.144127919392344
Saccharomyces cerevisiae	Streptococcus infantarius	0.144646041870751
Saccharomyces cerevisiae	Klebsiella oxytoca	-0.0801639161534146
Saccharomyces cerevisiae	Christensenella minuta	-0.148251935513009
Saccharomyces cerevisiae	Streptococcus sp. HSISS1	-0.216801767188888
Saccharomyces cerevisiae	Streptococcus equinus	0.137793411088148
Saccharomyces cerevisiae	Streptococcus gallolyticus	0.132124917222327
Saccharomyces cerevisiae	Lacticaseibacillus paracasei	-0.255207869695875
Saccharomyces cerevisiae	Limosilactobacillus mucosae	0.150032764251078
Saccharomyces cerevisiae	Arachnia rubra	0.200949366656935
Saccharomyces cerevisiae	Citrobacter koseri	0.0578222382884696
Saccharomyces cerevisiae	Klebsiella michiganensis	-0.033151478118632
Saccharomyces cerevisiae	Methanobrevibacter smithii	0.154636919550461
Candida albicans	Homo sapiens	-0.212213821923673
Candida albicans	Saccharomyces cerevisiae	-0.0254545176882701
Candida albicans	Candida albicans	1
Candida albicans	Botrytis cinerea	0.0454702428907483
Candida albicans	Thermothielavioides terrestris	-0.0825690122589167
Candida albicans	Aspergillus oryzae	0.125358975305604
Candida albicans	Toxoplasma gondii	-0.116469955651174
Candida albicans	Plasmodium sp. gorilla clade G2	-0.120624326861795
Candida albicans	Trypanosoma brucei	-0.155993121430725
Candida albicans	Leishmania infantum	0.0750414213629162
Candida albicans	Staphylococcus aureus	-0.0569608700621219
Candida albicans	Priestia aryabhattai	-0.0351162087149397
Candida albicans	Streptococcus pneumoniae	0.0902944744621008
Candida albicans	Streptococcus thermophilus	-0.0975248328433315
Candida albicans	Streptococcus suis	0.0368760592709119
Candida albicans	Limosilactobacillus fermentum	-0.0436571667383196
Candida albicans	Enterococcus faecalis	0.0335804261190807
Candida albicans	Enterococcus faecium	-0.0635567851613391
Candida albicans	Blautia wexlerae	-0.0751460876495054
Candida albicans	Blautia massiliensis	-0.0581855355436373
Candida albicans	Blautia sp. SC05B48	-0.0622870965474529
Candida albicans	Blautia obeum	-0.0700859522044826
Candida albicans	Anaerostipes hadrus	-0.066684756569167
Candida albicans	[Ruminococcus] torques	-0.0899585650208625
Candida albicans	[Ruminococcus] gnavus	-0.0443605493620145
Candida albicans	[Eubacterium] rectale	-0.0712412575763698
Candida albicans	Anaerobutyricum hallii	-0.0574111612743173
Candida albicans	Coprococcus comes	-0.0891744538972192
Candida albicans	[Clostridium] scindens	0.158378833471131
Candida albicans	Dorea longicatena	-0.0683112598067799
Candida albicans	Enterocloster bolteae	-0.0461474602876278
Candida albicans	Oscillospiraceae bacterium	-0.0638306148582315
Candida albicans	Ruminococcus sp. SR1/5	-0.0583526752291726
Candida albicans	Clostridium sp. AWRP	0.0559524299032339
Candida albicans	Clostridium neonatale	0.0829420186452756
Candida albicans	Eubacterium callanderi	0.156076800913656
Candida albicans	Mogibacterium diversum	0.0140043850951047
Candida albicans	uncultured Clostridia bacterium	0.0109449166382667
Candida albicans	Erysipelatoclostridium ramosum	-0.0334218433256359
Candida albicans	[Clostridium] innocuum	-0.0223659516766444
Candida albicans	Erysipelotrichaceae bacterium 66202529	0.941866381824156
Candida albicans	Parvimonas micra	0.288407660270093
Candida albicans	Actinomyces graevenitzii	-0.0452501852686511
Candida albicans	Schaalia odontolytica	-0.04755453863358
Candida albicans	Bifidobacterium longum	0.897706668982623
Candida albicans	Eggerthella lenta	0.27127871851247
Candida albicans	Collinsella aerofaciens	-0.0624833336558469
Candida albicans	Escherichia coli	-0.0571603881892862
Candida albicans	Klebsiella pneumoniae	-0.0852744364432149
Candida albicans	Polynucleobacter sp. MG-Unter2-18	0.0737155493446576
Candida albicans	Bacteroides thetaiotaomicron	-0.0978543471383169
Candida albicans	Bacteroides uniformis	-0.0494307274803381
Candida albicans	Phocaeicola dorei	-0.0525525755466203
Candida albicans	Phocaeicola vulgatus	-0.0874710796835649
Candida albicans	Parabacteroides distasonis	-0.0819991668435169
Candida albicans	Parabacteroides merdae	-0.0873660400421199
Candida albicans	Tepiditoga spiralis	-0.0472270367869107
Candida albicans	uncultured human fecal virus	-0.0865176398617581
Candida albicans	Sellimonas intestinalis	0.0721965084791002
Candida albicans	Clostridium perfringens	0.243577710189241
Candida albicans	Clostridiaceae bacterium Marseille-Q4149	-0.00213076106431856
Candida albicans	Lactococcus lactis	-0.0273403390773223
Candida albicans	Limosilactobacillus oris	-0.0594529978849769
Candida albicans	Megasphaera massiliensis	-0.018463336105462
Candida albicans	Bifidobacterium adolescentis	-0.0429101724182659
Candida albicans	Bifidobacterium pseudocatenulatum	0.0176989677749316
Candida albicans	Bifidobacterium bifidum	0.0268165974665473
Candida albicans	Collinsella stercoris	0.548854467279763
Candida albicans	Bacteroides salyersiae	-0.0801437188422226
Candida albicans	Listeria monocytogenes	-0.0388474639130831
Candida albicans	Streptococcus lutetiensis	0.0327301183071326
Candida albicans	Streptococcus infantarius	0.0326374214652591
Candida albicans	Klebsiella oxytoca	-0.0630626798124441
Candida albicans	Christensenella minuta	0.201374655972423
Candida albicans	Streptococcus sp. HSISS1	-0.0184205755319749
Candida albicans	Streptococcus equinus	0.0319819732419709
Candida albicans	Streptococcus gallolyticus	0.0308140865604499
Candida albicans	Lacticaseibacillus paracasei	0.571743459178734
Candida albicans	Limosilactobacillus mucosae	0.034586230397755
Candida albicans	Arachnia rubra	-0.0748734599793821
Candida albicans	Citrobacter koseri	-0.0531870026040047
Candida albicans	Klebsiella michiganensis	-0.0886788893065396
Candida albicans	Methanobrevibacter smithii	0.0350026095892222
Botrytis cinerea	Homo sapiens	0.437606385431899
Botrytis cinerea	Saccharomyces cerevisiae	0.695156412202756
Botrytis cinerea	Candida albicans	0.0454702428907483
Botrytis cinerea	Botrytis cinerea	1
Botrytis cinerea	Thermothielavioides terrestris	0.234933517606656
Botrytis cinerea	Aspergillus oryzae	0.775370166398223
Botrytis cinerea	Toxoplasma gondii	0.592318547818173
Botrytis cinerea	Plasmodium sp. gorilla clade G2	-0.0366384623233717
Botrytis cinerea	Trypanosoma brucei	0.543590710136625
Botrytis cinerea	Leishmania infantum	0.830228624088583
Botrytis cinerea	Staphylococcus aureus	-0.191478171931572
Botrytis cinerea	Priestia aryabhattai	0.00138776516633414
Botrytis cinerea	Streptococcus pneumoniae	0.00433075217160236
Botrytis cinerea	Streptococcus thermophilus	-0.24402852046195
Botrytis cinerea	Streptococcus suis	-0.202032294785538
Botrytis cinerea	Limosilactobacillus fermentum	-0.154925997676853
Botrytis cinerea	Enterococcus faecalis	-0.026162218671251
Botrytis cinerea	Enterococcus faecium	-0.239860423100095
Botrytis cinerea	Blautia wexlerae	-0.244499194156512
Botrytis cinerea	Blautia massiliensis	-0.132038303190242
Botrytis cinerea	Blautia sp. SC05B48	-0.143666801110976
Botrytis cinerea	Blautia obeum	-0.31112525008646
Botrytis cinerea	Anaerostipes hadrus	-0.155717873513175
Botrytis cinerea	[Ruminococcus] torques	-0.327451375448844
Botrytis cinerea	[Ruminococcus] gnavus	-0.17840018182242
Botrytis cinerea	[Eubacterium] rectale	-0.249429864010808
Botrytis cinerea	Anaerobutyricum hallii	-0.218122747008217
Botrytis cinerea	Coprococcus comes	-0.307362641875992
Botrytis cinerea	[Clostridium] scindens	-0.230249588401752
Botrytis cinerea	Dorea longicatena	-0.233291494266786
Botrytis cinerea	Enterocloster bolteae	-0.151830167961367
Botrytis cinerea	Oscillospiraceae bacterium	-0.330165663498204
Botrytis cinerea	Ruminococcus sp. SR1/5	-0.128950034848004
Botrytis cinerea	Clostridium sp. AWRP	-0.106285091280963
Botrytis cinerea	Clostridium neonatale	-0.293439839612265
Botrytis cinerea	Eubacterium callanderi	-0.179751302954615
Botrytis cinerea	Mogibacterium diversum	-0.147924817813709
Botrytis cinerea	uncultured Clostridia bacterium	-0.32262364045835
Botrytis cinerea	Erysipelatoclostridium ramosum	-0.182399878905282
Botrytis cinerea	[Clostridium] innocuum	-0.223064605067462
Botrytis cinerea	Erysipelotrichaceae bacterium 66202529	-0.0344988490166029
Botrytis cinerea	Parvimonas micra	-0.0675783206520417
Botrytis cinerea	Actinomyces graevenitzii	-0.135699146859202
Botrytis cinerea	Schaalia odontolytica	-0.200678676024507
Botrytis cinerea	Bifidobacterium longum	-0.0858711670142159
Botrytis cinerea	Eggerthella lenta	-0.290865432315383
Botrytis cinerea	Collinsella aerofaciens	-0.286005909793341
Botrytis cinerea	Escherichia coli	-0.157640598000131
Botrytis cinerea	Klebsiella pneumoniae	-0.176509185478304
Botrytis cinerea	Polynucleobacter sp. MG-Unter2-18	0.686011747029679
Botrytis cinerea	Bacteroides thetaiotaomicron	-0.239898322325077
Botrytis cinerea	Bacteroides uniformis	-0.143754148884118
Botrytis cinerea	Phocaeicola dorei	-0.155889226486233
Botrytis cinerea	Phocaeicola vulgatus	-0.268477994481884
Botrytis cinerea	Parabacteroides distasonis	-0.242362661988591
Botrytis cinerea	Parabacteroides merdae	-0.226939662440728
Botrytis cinerea	Tepiditoga spiralis	0.069132149999007
Botrytis cinerea	uncultured human fecal virus	-0.270666048428317
Botrytis cinerea	Sellimonas intestinalis	-0.156206556913549
Botrytis cinerea	Clostridium perfringens	-0.16529854862741
Botrytis cinerea	Clostridiaceae bacterium Marseille-Q4149	-0.153867869990252
Botrytis cinerea	Lactococcus lactis	0.19101383109435
Botrytis cinerea	Limosilactobacillus oris	-0.183372121909375
Botrytis cinerea	Megasphaera massiliensis	-0.168176099616634
Botrytis cinerea	Bifidobacterium adolescentis	-0.168368494433172
Botrytis cinerea	Bifidobacterium pseudocatenulatum	-0.111995573546642
Botrytis cinerea	Bifidobacterium bifidum	-0.0714037054073042
Botrytis cinerea	Collinsella stercoris	-0.200415206420468
Botrytis cinerea	Bacteroides salyersiae	-0.11227860236354
Botrytis cinerea	Listeria monocytogenes	-0.139849760342876
Botrytis cinerea	Streptococcus lutetiensis	-0.0292103087979677
Botrytis cinerea	Streptococcus infantarius	-0.0299622609260768
Botrytis cinerea	Klebsiella oxytoca	-0.252748049135501
Botrytis cinerea	Christensenella minuta	-0.229500041289979
Botrytis cinerea	Streptococcus sp. HSISS1	-0.260890814156059
Botrytis cinerea	Streptococcus equinus	-0.0333350166294022
Botrytis cinerea	Streptococcus gallolyticus	-0.0425553406946253
Botrytis cinerea	Lacticaseibacillus paracasei	-0.167607742565424
Botrytis cinerea	Limosilactobacillus mucosae	-0.026817843407247
Botrytis cinerea	Arachnia rubra	-0.192140965823928
Botrytis cinerea	Citrobacter koseri	-0.144333728003631
Botrytis cinerea	Klebsiella michiganensis	-0.250751036561942
Botrytis cinerea	Methanobrevibacter smithii	-0.0180748762493504
Thermothielavioides terrestris	Homo sapiens	-0.0455913628435904
Thermothielavioides terrestris	Saccharomyces cerevisiae	0.290280206338561
Thermothielavioides terrestris	Candida albicans	-0.0825690122589167
Thermothielavioides terrestris	Botrytis cinerea	0.234933517606656
Thermothielavioides terrestris	Thermothielavioides terrestris	1
Thermothielavioides terrestris	Aspergillus oryzae	0.283640138417323
Thermothielavioides terrestris	Toxoplasma gondii	-0.0168271216923764
Thermothielavioides terrestris	Plasmodium sp. gorilla clade G2	0.807097355248155
Thermothielavioides terrestris	Trypanosoma brucei	0.00187222563125722
Thermothielavioides terrestris	Leishmania infantum	0.356707173978485
Thermothielavioides terrestris	Staphylococcus aureus	-0.11546758812105
Thermothielavioides terrestris	Priestia aryabhattai	0.816795627875745
Thermothielavioides terrestris	Streptococcus pneumoniae	0.0980924611107027
Thermothielavioides terrestris	Streptococcus thermophilus	0.391147119071958
Thermothielavioides terrestris	Streptococcus suis	-0.0621724498130471
Thermothielavioides terrestris	Limosilactobacillus fermentum	-0.0883268813648511
Thermothielavioides terrestris	Enterococcus faecalis	-0.0574862686537346
Thermothielavioides terrestris	Enterococcus faecium	-0.121478702231686
Thermothielavioides terrestris	Blautia wexlerae	0.118971274756049
Thermothielavioides terrestris	Blautia massiliensis	0.249836500518741
Thermothielavioides terrestris	Blautia sp. SC05B48	0.240298257728065
Thermothielavioides terrestris	Blautia obeum	0.0304401640119441
Thermothielavioides terrestris	Anaerostipes hadrus	0.628138342821022
Thermothielavioides terrestris	[Ruminococcus] torques	-0.0712137995072937
Thermothielavioides terrestris	[Ruminococcus] gnavus	-0.0447258092586797
Thermothielavioides terrestris	[Eubacterium] rectale	-0.0845295599936081
Thermothielavioides terrestris	Anaerobutyricum hallii	-0.081697062559115
Thermothielavioides terrestris	Coprococcus comes	-0.00314970478023406
Thermothielavioides terrestris	[Clostridium] scindens	-0.099652831751096
Thermothielavioides terrestris	Dorea longicatena	-0.0433014402025977
Thermothielavioides terrestris	Enterocloster bolteae	-0.0803464962031594
Thermothielavioides terrestris	Oscillospiraceae bacterium	-0.0320462960166858
Thermothielavioides terrestris	Ruminococcus sp. SR1/5	0.255646502748033
Thermothielavioides terrestris	Clostridium sp. AWRP	0.850573758963244
Thermothielavioides terrestris	Clostridium neonatale	0.092160712287496
Thermothielavioides terrestris	Eubacterium callanderi	-0.107805935978078
Thermothielavioides terrestris	Mogibacterium diversum	0.0755714342207678
Thermothielavioides terrestris	uncultured Clostridia bacterium	-0.100710416359228
Thermothielavioides terrestris	Erysipelatoclostridium ramosum	0.520292524707639
Thermothielavioides terrestris	[Clostridium] innocuum	-0.103606071600895
Thermothielavioides terrestris	Erysipelotrichaceae bacterium 66202529	-0.0537136265946018
Thermothielavioides terrestris	Parvimonas micra	0.14646316876092
Thermothielavioides terrestris	Actinomyces graevenitzii	0.573473103652688
Thermothielavioides terrestris	Schaalia odontolytica	0.559124137361161
Thermothielavioides terrestris	Bifidobacterium longum	-0.103689917063667
Thermothielavioides terrestris	Eggerthella lenta	-0.0999797266014351
Thermothielavioides terrestris	Collinsella aerofaciens	-0.171576383151275
Thermothielavioides terrestris	Escherichia coli	0.805672918774936
Thermothielavioides terrestris	Klebsiella pneumoniae	0.0251773756548843
Thermothielavioides terrestris	Polynucleobacter sp. MG-Unter2-18	0.0184438349421471
Thermothielavioides terrestris	Bacteroides thetaiotaomicron	-0.073042683851003
Thermothielavioides terrestris	Bacteroides uniformis	-0.0493866221948285
Thermothielavioides terrestris	Phocaeicola dorei	-0.0539163515168241
Thermothielavioides terrestris	Phocaeicola vulgatus	-0.107175132544377
Thermothielavioides terrestris	Parabacteroides distasonis	-0.104028609538898
Thermothielavioides terrestris	Parabacteroides merdae	-0.0782726360187398
Thermothielavioides terrestris	Tepiditoga spiralis	0.923939073975244
Thermothielavioides terrestris	uncultured human fecal virus	0.224928337278753
Thermothielavioides terrestris	Sellimonas intestinalis	-0.0775285502200642
Thermothielavioides terrestris	Clostridium perfringens	-0.109968119024596
Thermothielavioides terrestris	Clostridiaceae bacterium Marseille-Q4149	-0.0905229007101435
Thermothielavioides terrestris	Lactococcus lactis	-0.0868661112566562
Thermothielavioides terrestris	Limosilactobacillus oris	-0.101718370246831
Thermothielavioides terrestris	Megasphaera massiliensis	-0.117873349120134
Thermothielavioides terrestris	Bifidobacterium adolescentis	-0.0987809658605711
Thermothielavioides terrestris	Bifidobacterium pseudocatenulatum	-0.0966027642807033
Thermothielavioides terrestris	Bifidobacterium bifidum	-0.077310790987606
Thermothielavioides terrestris	Collinsella stercoris	-0.154368136733003
Thermothielavioides terrestris	Bacteroides salyersiae	-0.0647695086229999
Thermothielavioides terrestris	Listeria monocytogenes	-0.0808023790748059
Thermothielavioides terrestris	Streptococcus lutetiensis	-0.058974592564594
Thermothielavioides terrestris	Streptococcus infantarius	-0.0564644257403158
Thermothielavioides terrestris	Klebsiella oxytoca	0.578728321039845
Thermothielavioides terrestris	Christensenella minuta	-0.0991311946431586
Thermothielavioides terrestris	Streptococcus sp. HSISS1	-0.0491134772679539
Thermothielavioides terrestris	Streptococcus equinus	-0.0603722754661123
Thermothielavioides terrestris	Streptococcus gallolyticus	-0.0558320609860627
Thermothielavioides terrestris	Lacticaseibacillus paracasei	-0.0435844261629089
Thermothielavioides terrestris	Limosilactobacillus mucosae	-0.056073197652964
Thermothielavioides terrestris	Arachnia rubra	0.660918900528066
Thermothielavioides terrestris	Citrobacter koseri	0.812347324556077
Thermothielavioides terrestris	Klebsiella michiganensis	0.664784877755164
Thermothielavioides terrestris	Methanobrevibacter smithii	-0.0562518975533309
Aspergillus oryzae	Homo sapiens	0.281489959682451
Aspergillus oryzae	Saccharomyces cerevisiae	0.363899762829119
Aspergillus oryzae	Candida albicans	0.125358975305604
Aspergillus oryzae	Botrytis cinerea	0.775370166398223
Aspergillus oryzae	Thermothielavioides terrestris	0.283640138417323
Aspergillus oryzae	Aspergillus oryzae	1
Aspergillus oryzae	Toxoplasma gondii	0.176456995442301
Aspergillus oryzae	Plasmodium sp. gorilla clade G2	-0.0533562150917769
Aspergillus oryzae	Trypanosoma brucei	0.131351877962626
Aspergillus oryzae	Leishmania infantum	0.834521812987754
Aspergillus oryzae	Staphylococcus aureus	-0.14625599982068
Aspergillus oryzae	Priestia aryabhattai	0.00928365297425643
Aspergillus oryzae	Streptococcus pneumoniae	-0.0984856897822639
Aspergillus oryzae	Streptococcus thermophilus	-0.158313721189414
Aspergillus oryzae	Streptococcus suis	-0.173948692129402
Aspergillus oryzae	Limosilactobacillus fermentum	-0.111908165884311
Aspergillus oryzae	Enterococcus faecalis	-0.0669732934995689
Aspergillus oryzae	Enterococcus faecium	-0.150271121117182
Aspergillus oryzae	Blautia wexlerae	-0.181629510263616
Aspergillus oryzae	Blautia massiliensis	-0.0907025107152619
Aspergillus oryzae	Blautia sp. SC05B48	-0.0990674958561757
Aspergillus oryzae	Blautia obeum	-0.216649858489415
Aspergillus oryzae	Anaerostipes hadrus	-0.114074597958904
Aspergillus oryzae	[Ruminococcus] torques	-0.224446597439896
Aspergillus oryzae	[Ruminococcus] gnavus	-0.126889297220797
