Species1	Species2	Values
Homo sapiens	Lachnoclostridium sp. YL32	-0.811055267601168
Homo sapiens	Lachnoclostridium phocaeense	-0.361519196551696
Homo sapiens	Simiaoa sunii	-0.707372817606698
Homo sapiens	Sellimonas intestinalis	-0.372590390054641
Homo sapiens	Dysosmobacter welbionis	-0.668405370070044
Homo sapiens	Clostridiaceae bacterium Marseille-Q4149	-0.512092588592655
Homo sapiens	Eubacterium sp. NSJ-61	-0.664567757822834
Homo sapiens	Massilistercora timonensis	-0.374301779957162
Homo sapiens	Clostridiales bacterium CCNA10	-0.848739879903939
Homo sapiens	Geobacillus zalihae	-0.153057849038308
Homo sapiens	Streptococcus vestibularis	-0.338238019853269
Homo sapiens	Streptococcus sp. HSISM1	-0.738534710921868
Homo sapiens	Streptococcus sp. LPB0220	-0.751273674410991
Homo sapiens	Streptococcus sp. HSISS3	-0.47810147440975
Homo sapiens	Streptococcus anginosus	-0.377986056083419
Homo sapiens	Streptococcus mitis	-0.718641602008086
Homo sapiens	Streptococcus sanguinis	-0.569198000025247
Homo sapiens	Streptococcus oralis	-0.729372466381589
Homo sapiens	Lactococcus lactis	-0.021545044058554
Homo sapiens	Limosilactobacillus oris	-0.422092487874559
Homo sapiens	Lactiplantibacillus plantarum	-0.240189980750465
Homo sapiens	Lacticaseibacillus rhamnosus	-0.323331802882538
Homo sapiens	Faecalibacillus intestinalis	-0.412189306761963
Homo sapiens	Catenibacterium sp. co_0103	-0.592169100820538
Homo sapiens	Bifidobacterium adolescentis	-0.438672525405168
Homo sapiens	Bifidobacterium pseudocatenulatum	-0.400591372298972
Homo sapiens	Bifidobacterium breve	-0.379145342086388
Homo sapiens	Bifidobacterium bifidum	-0.394708966886383
Homo sapiens	Bifidobacterium dentium	-0.341693278068575
Homo sapiens	Actinomyces sp. oral taxon 171	-0.472975396719927
Homo sapiens	Actinomyces sp. oral taxon 169	-0.730659892583592
Homo sapiens	Cutibacterium acnes	-0.0646259415650109
Homo sapiens	Gordonibacter urolithinfaciens	-0.798441530744621
Homo sapiens	Gordonibacter pamelaeae	-0.727414355850106
Homo sapiens	Bacteroides stercoris	-0.394140160897094
Homo sapiens	Bacteroides salyersiae	-0.0899272802403151
Homo sapiens	Streptococcus lutetiensis	-0.229486158279499
Homo sapiens	Enterococcus avium	-0.386484536959454
Homo sapiens	Acidaminococcus intestini	-0.393450373279022
Homo sapiens	Faecalibacterium sp. IP118	-0.432742953900072
Homo sapiens	Ruthenibacterium lactatiformans	-0.587886236063237
Homo sapiens	Streptococcus agalactiae	-0.490695897537408
Homo sapiens	Actinomyces sp. HMT 175	-0.677503276106713
Homo sapiens	Bacteroides sp. KGMB07931	0.0103408439286403
Saccharomyces cerevisiae	Homo sapiens	0.443256846291216
Saccharomyces cerevisiae	Saccharomyces cerevisiae	1
Saccharomyces cerevisiae	Candida tropicalis	0.340588142250649
Saccharomyces cerevisiae	Candida albicans	-0.141628551234384
Saccharomyces cerevisiae	Botrytis cinerea	0.773396605904775
Saccharomyces cerevisiae	Aspergillus oryzae	0.272720426947776
Saccharomyces cerevisiae	Toxoplasma gondii	0.636566349136082
Saccharomyces cerevisiae	Trypanosoma brucei	0.615323970114623
Saccharomyces cerevisiae	Leishmania infantum	0.552561038774861
Saccharomyces cerevisiae	Staphylococcus aureus	-0.129710241495561
Saccharomyces cerevisiae	Streptococcus pneumoniae	0.220881393284924
Saccharomyces cerevisiae	Streptococcus thermophilus	-0.0564740784450829
Saccharomyces cerevisiae	Streptococcus sp. A12	0.0431630653141104
Saccharomyces cerevisiae	Streptococcus salivarius	-0.225336140447879
Saccharomyces cerevisiae	Streptococcus australis	0.0392584721596957
Saccharomyces cerevisiae	Streptococcus parasanguinis	-0.280103029057228
Saccharomyces cerevisiae	Lactococcus piscium	0.00861267841094967
Saccharomyces cerevisiae	Limosilactobacillus fermentum	-0.2673796708761
Saccharomyces cerevisiae	Latilactobacillus sakei	0.0544433638759032
Saccharomyces cerevisiae	Leuconostoc carnosum	0.0516816402999488
Saccharomyces cerevisiae	Lactobacillus helveticus	0.0521960033355938
Saccharomyces cerevisiae	Enterococcus faecium	-0.248063911981484
