Species1	Species2	Values
Saccharomyces cerevisiae	Blautia wexlerae	-0.267104824307741
Saccharomyces cerevisiae	Blautia massiliensis	-0.090978038465121
Saccharomyces cerevisiae	Anaerostipes hadrus	-0.0104475015294258
Saccharomyces cerevisiae	[Ruminococcus] torques	-0.399727788860279
Saccharomyces cerevisiae	[Ruminococcus] gnavus	-0.219100276054792
Saccharomyces cerevisiae	[Eubacterium] rectale	-0.288939416389418
Saccharomyces cerevisiae	Roseburia intestinalis	-0.25474609168634
Saccharomyces cerevisiae	Anaerobutyricum hallii	-0.304429441119207
Saccharomyces cerevisiae	Coprococcus comes	-0.317280336490035
Saccharomyces cerevisiae	Coprococcus catus	-0.28096239207111
Saccharomyces cerevisiae	Dorea longicatena	-0.26917723450333
Saccharomyces cerevisiae	Lachnospiraceae bacterium	-0.429691755888436
Saccharomyces cerevisiae	Enterocloster bolteae	-0.252174628407121
Saccharomyces cerevisiae	Oscillospiraceae bacterium	-0.366215071965195
Saccharomyces cerevisiae	Ruminococcus sp. SR1/5	-0.0810718523660853
Saccharomyces cerevisiae	Faecalibacterium prausnitzii	-0.209205551344456
Saccharomyces cerevisiae	[Eubacterium] siraeum	-0.314839542270529
Saccharomyces cerevisiae	Eubacterium callanderi	-0.244911785879943
Saccharomyces cerevisiae	Eubacterium limosum	-0.252739565984717
Saccharomyces cerevisiae	uncultured Clostridia bacterium	-0.375797787589434
Saccharomyces cerevisiae	[Clostridium] innocuum	-0.271478600072934
Saccharomyces cerevisiae	Erysipelotrichaceae bacterium 66202529	-0.179889756398115
Saccharomyces cerevisiae	Faecalitalea cylindroides	-0.160264540142409
Saccharomyces cerevisiae	Nocardia gipuzkoensis	0.737854258328065
Saccharomyces cerevisiae	Lawsonella clevelandensis	-0.141518733393714
Saccharomyces cerevisiae	Actinomyces graevenitzii	0.032014819353309
Saccharomyces cerevisiae	Actinomyces naeslundii	0.0368326309282593
Saccharomyces cerevisiae	Actinomyces pacaensis	-0.00464789672002186
Saccharomyces cerevisiae	Bifidobacterium longum	-0.285875578340839
Saccharomyces cerevisiae	Eggerthella lenta	-0.363143165078772
Saccharomyces cerevisiae	Collinsella aerofaciens	-0.276129433336197
Saccharomyces cerevisiae	Legionella pneumophila	0.755089354367649
Saccharomyces cerevisiae	Escherichia coli	-0.000501102354839916
Saccharomyces cerevisiae	Klebsiella pneumoniae	-0.0881644486260947
Saccharomyces cerevisiae	Salmonella enterica	-0.0281851220833724
Saccharomyces cerevisiae	Polynucleobacter sp. MG-Unter2-18	0.638291209082353
Saccharomyces cerevisiae	Granulibacter bethesdensis	0.287636975269275
Saccharomyces cerevisiae	Bacteroides thetaiotaomicron	-0.176140427092062
Saccharomyces cerevisiae	Phocaeicola vulgatus	-0.277697776516253
Saccharomyces cerevisiae	Parabacteroides distasonis	-0.269275613184508
Saccharomyces cerevisiae	Parabacteroides merdae	-0.197401699923292
Saccharomyces cerevisiae	Alistipes shahii	-0.232745219561406
Saccharomyces cerevisiae	Akkermansia muciniphila	-0.228003437346289
Saccharomyces cerevisiae	uncultured human fecal virus	-0.270625451902962
Saccharomyces cerevisiae	Geobacillus zalihae	-0.16283166612153
Saccharomyces cerevisiae	Limosilactobacillus oris	-0.28053729739361
Saccharomyces cerevisiae	Bifidobacterium adolescentis	-0.258665864666135
Saccharomyces cerevisiae	Bifidobacterium pseudocatenulatum	-0.0848715699535588
Saccharomyces cerevisiae	Bifidobacterium bifidum	-0.0465829419645861
Saccharomyces cerevisiae	Prevotella copri	-0.0304263286007176
Saccharomyces cerevisiae	Streptococcus lutetiensis	0.0769807258681667
Saccharomyces cerevisiae	Streptococcus infantarius	0.0774806008764991
Saccharomyces cerevisiae	Acidaminococcus intestini	-0.234076404624104
Saccharomyces cerevisiae	Streptococcus equinus	0.0718340775205397
Saccharomyces cerevisiae	Streptococcus gallolyticus	0.0787941118237945
Saccharomyces cerevisiae	Limosilactobacillus mucosae	0.0831093681530157
Saccharomyces cerevisiae	Prevotella dentalis	-0.0387629619330422
Saccharomyces cerevisiae	Shigella flexneri	-0.0169642894837655
Saccharomyces cerevisiae	Methanobrevibacter smithii	0.0864082946812673
Naumovozyma castellii	Homo sapiens	0.111206133101458
Naumovozyma castellii	Saccharomyces cerevisiae	0.443657019840354
Naumovozyma castellii	Naumovozyma castellii	1
Naumovozyma castellii	Kluyveromyces marxianus	0.949919888170782
Naumovozyma castellii	Candida tropicalis	0.239080482478118
Naumovozyma castellii	Candida dubliniensis	0.200597399837679
Naumovozyma castellii	Candida albicans	-0.0500207351537349
Naumovozyma castellii	Yarrowia lipolytica	0.522483402510849
Naumovozyma castellii	Sugiyamaella lignohabitans	0.584389927712233
Naumovozyma castellii	Botrytis cinerea	0.312614309844649
Naumovozyma castellii	Fusarium pseudograminearum	0.536938807105247
Naumovozyma castellii	Aspergillus oryzae	-0.0204418079443015
Naumovozyma castellii	Toxoplasma gondii	0.313722299953884
Naumovozyma castellii	Trypanosoma brucei	0.371433998430244
Naumovozyma castellii	Leishmania infantum	0.138492625825559
Naumovozyma castellii	Bacillus cereus	0.362727888049688
Naumovozyma castellii	Bacillus thuringiensis	0.554063574130736
Naumovozyma castellii	Amphibacillus xylanus	0.362334802290572
Naumovozyma castellii	Streptococcus thermophilus	-0.120595515057531
Naumovozyma castellii	Streptococcus sp. A12	-0.102520142742461
Naumovozyma castellii	Streptococcus australis	-0.0976974039867374
Naumovozyma castellii	Limosilactobacillus fermentum	-0.182431614804812
Naumovozyma castellii	Latilactobacillus sakei	-0.0945527517815766
Naumovozyma castellii	Enterococcus faecalis	0.835677162599944
Naumovozyma castellii	Blautia wexlerae	-0.204711128174501
Naumovozyma castellii	Blautia massiliensis	-0.178226226351975
Naumovozyma castellii	Anaerostipes hadrus	-0.136689232466153
Naumovozyma castellii	[Ruminococcus] torques	-0.276658828685731
Naumovozyma castellii	[Ruminococcus] gnavus	-0.145895307566785
Naumovozyma castellii	[Eubacterium] rectale	-0.195416086334442
Naumovozyma castellii	Roseburia intestinalis	-0.168098452531
Naumovozyma castellii	Anaerobutyricum hallii	-0.197117359076602
Naumovozyma castellii	Coprococcus comes	-0.189593163495182
Naumovozyma castellii	Coprococcus catus	-0.190395454233464
Naumovozyma castellii	Dorea longicatena	-0.1943126967331
Naumovozyma castellii	Lachnospiraceae bacterium	-0.288542095143819
Naumovozyma castellii	Enterocloster bolteae	-0.167663986290406
Naumovozyma castellii	Oscillospiraceae bacterium	-0.198386463751442
Naumovozyma castellii	Ruminococcus sp. SR1/5	-0.171958287359218
Naumovozyma castellii	Faecalibacterium prausnitzii	-0.135634036837696
