Species1	Species2	Values
Homo sapiens	Streptococcus sp. LPB0220	-0.01427
Homo sapiens	Streptococcus sp. HSISS3	-0.0824156
Homo sapiens	Streptococcus anginosus	-0.00412438
Homo sapiens	Streptococcus mitis	-0.245069
Homo sapiens	Streptococcus sanguinis	0.0355392
Homo sapiens	Streptococcus oralis	-0.0153634
Homo sapiens	Lactococcus lactis	0.547645
Homo sapiens	Limosilactobacillus oris	0.0408783
Homo sapiens	Lactiplantibacillus plantarum	-0.335194
Homo sapiens	Lacticaseibacillus rhamnosus	-0.00248089
Homo sapiens	Faecalibacillus intestinalis	0.17289
Homo sapiens	Catenibacterium sp. co_0103	0.0804436
Homo sapiens	Bifidobacterium adolescentis	0.0195398
Homo sapiens	Bifidobacterium pseudocatenulatum	0.0093224
Homo sapiens	Bifidobacterium breve	-0.0257237
Homo sapiens	Bifidobacterium bifidum	0.0359304
Homo sapiens	Bifidobacterium dentium	0.208245
Homo sapiens	Actinomyces sp. oral taxon 171	-0.0143293
Homo sapiens	Actinomyces sp. oral taxon 169	0.153842
Homo sapiens	Cutibacterium acnes	-0.120031
Homo sapiens	Gordonibacter urolithinfaciens	0.152211
Homo sapiens	Gordonibacter pamelaeae	0.0468372
Homo sapiens	Bacteroides stercoris	-0.0216589
Homo sapiens	Bacteroides salyersiae	0.0906072
Homo sapiens	Streptococcus lutetiensis	0.00917669
Homo sapiens	Enterococcus avium	0.173608
Homo sapiens	Acidaminococcus intestini	0.0441889
Homo sapiens	Faecalibacterium sp. IP118	0.0301692
Homo sapiens	Ruthenibacterium lactatiformans	0.0730555
Homo sapiens	Streptococcus agalactiae	0.11074
Homo sapiens	Actinomyces sp. HMT 175	-0.173698
Homo sapiens	Bacteroides sp. KGMB07931	-0.244642
Saccharomyces cerevisiae	Homo sapiens	0.0171523
Saccharomyces cerevisiae	Saccharomyces cerevisiae	0
Saccharomyces cerevisiae	Candida tropicalis	-0.333321
Saccharomyces cerevisiae	Candida albicans	0.0885519
Saccharomyces cerevisiae	Botrytis cinerea	-0.17763
Saccharomyces cerevisiae	Aspergillus oryzae	-0.186545
Saccharomyces cerevisiae	Toxoplasma gondii	0.0529422
Saccharomyces cerevisiae	Trypanosoma brucei	0.0648482
Saccharomyces cerevisiae	Leishmania infantum	-0.240081
Saccharomyces cerevisiae	Staphylococcus aureus	-0.139697
Saccharomyces cerevisiae	Streptococcus pneumoniae	-0.0781654
Saccharomyces cerevisiae	Streptococcus thermophilus	-0.0772827
Saccharomyces cerevisiae	Streptococcus sp. A12	0.0646992
Saccharomyces cerevisiae	Streptococcus salivarius	-0.105622
Saccharomyces cerevisiae	Streptococcus australis	0.0558655
Saccharomyces cerevisiae	Streptococcus parasanguinis	-0.155484
Saccharomyces cerevisiae	Lactococcus piscium	0.0244101
Saccharomyces cerevisiae	Limosilactobacillus fermentum	0.0516577
Saccharomyces cerevisiae	Latilactobacillus sakei	0.0723753
Saccharomyces cerevisiae	Leuconostoc carnosum	0.0766556
Saccharomyces cerevisiae	Lactobacillus helveticus	0.0746255
Saccharomyces cerevisiae	Enterococcus faecium	-0.0614329
Saccharomyces cerevisiae	Abiotrophia defectiva	0.131757
Saccharomyces cerevisiae	Blautia wexlerae	0.0830034
Saccharomyces cerevisiae	Blautia massiliensis	0.0852078
Saccharomyces cerevisiae	Blautia sp. SC05B48	0.0802966
Saccharomyces cerevisiae	Blautia sp. NBRC 113351	-0.0541273
Saccharomyces cerevisiae	Blautia obeum	-0.0289224
Saccharomyces cerevisiae	Blautia argi	-0.0681456
Saccharomyces cerevisiae	Blautia producta	-0.012781
Saccharomyces cerevisiae	uncultured Blautia sp.	-0.0688422
Saccharomyces cerevisiae	Anaerostipes hadrus	0.0777382
Saccharomyces cerevisiae	[Ruminococcus] torques	-0.0869528
Saccharomyces cerevisiae	[Ruminococcus] gnavus	0.0316483
Saccharomyces cerevisiae	[Eubacterium] rectale	-0.103716
Saccharomyces cerevisiae	Roseburia intestinalis	-0.113755
Saccharomyces cerevisiae	Roseburia hominis	-0.114919
Saccharomyces cerevisiae	Roseburia sp. NSJ-69	-0.113693
Saccharomyces cerevisiae	Anaerobutyricum hallii	-0.0343061
Saccharomyces cerevisiae	Coprococcus comes	-0.122197
Saccharomyces cerevisiae	Coprococcus catus	-0.0388546
Saccharomyces cerevisiae	[Clostridium] scindens	-0.102495
Saccharomyces cerevisiae	[Clostridium] symbiosum	-0.0536925
