"Tissue","antibiotic efflux","antibiotic inactivation","antibiotic target alteration","antibiotic target protection","antibiotic target replacement","reduced permeability to antibiotic"
"Duodenum",48.3660130718954,14.3790849673203,14.0522875816993,17.6470588235294,4.57516339869281,0.980392156862745
"Jejunum",57.3643410852713,15.5038759689922,12.4031007751938,12.4031007751938,1.55038759689922,0.775193798449612
"Ileum",40.2985074626866,16.4179104477612,11.9402985074627,25.8706467661692,5.4726368159204,0
"AscendingColon",41.8238993710692,18.8679245283019,11.9496855345912,22.0125786163522,4.40251572327044,0.943396226415094
"TransverseColon",54.5045045045045,13.5135135135135,13.5135135135135,12.6126126126126,4.5045045045045,1.35135135135135
"DescendingColon",45.6284153005465,13.9344262295082,13.1147540983607,22.1311475409836,3.82513661202186,1.36612021857923
