OTUID	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS08	ODIWGS09	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS18	ODIWGS19	ODIWGS20	ODIWGS21	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS27	ODIWGS28	ODIWGS29	ODIWGS30	ODIWGS31	ODIWGS32	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS37	ODIWGS38	ODIWGS39	ODIWGS40	ODIWGS41	ODIWGS42	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS47	ODIWGS48	ODIWGS49	ODIWGS50	ODIWGS51	ODIWGS52	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS57	ODIWGS58	ODIWGS59	ODIWGS60	ODIWGS61	ODIWGS62	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS67	ODIWGS68	ODIWGS69	ODIWGS70	ODIWGS71	ODIWGS72	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS77	ODIWGS78	ODIWGS79	ODIWGS80	ODIWGS81	ODIWGS82	ODIWGS83	ODIWGS84	ODIWGS85	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS90	ODIWGS91	ODIWGS92	ODIWGS93
1.1.1.355	0	0	0	194	0	0	0	0	0	0	0	0	0	64	0	151	0	119	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	512	0	0
1.1.1.36	0	0	0	693	56	0	0	0	9605	4176	0	231	257	738	3	0	0	5203	0	0	0	555	0	67	0	0	175	1763	2177	0	0	0	0	472	0	0	0	160	378	0	0	40	0	762	0	0	0	0	0	0	0	0	201	0	0	0	0	4913	0	6385	4	113	0	0	8	8	0	8049	0	5	0	232	0	0	125	0	0	0	0	50	0	6	0	0	0	0	176	0	744	0	0	0	366
1.1.1.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.363	0	0	0	0	0	0	0	0	961	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	110	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.364	0	0	0	195	25	0	0	0	0	0	0	132	0	153	0	0	0	1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	24	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286
1.1.1.369	0	0	0	306	0	0	0	0	66380	24654	0	162	172	415	18	16	0	1237	0	0	0	146	0	389	0	0	58	4777	937	0	0	0	6	191	0	5	0	125	2089	0	11	0	0	9	0	0	565	0	0	0	0	0	725	0	0	0	21	1556	9	1289	0	825	0	0	1797	5	0	34505	0	0	9	1656	14	0	0	0	0	0	0	164	17	6	0	9	0	0	7025	0	3303	0	0	0	395
1.1.1.37	4	0	7	5488	773	0	0	45	57381	21697	0	403	1733	4680	0	649	0	6078	0	0	0	2989	0	528	207	9	1510	3939	811	0	0	0	352	3562	213	3	590	7512	1829	0	7173	200	0	302	0	40	431	9	11	7	0	0	525	6	0	0	7	1832	0	1411	0	550	0	0	1100	0	9	32300	0	589	274	2755	53	246	2486	0	0	0	0	463	21	11	5	6	0	5	5784	0	1605	104	2052	0	8824
1.1.1.370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.373	0	0	0	395	0	0	0	0	185	0	0	0	87	141	0	0	0	0	0	0	0	0	0	0	0	0	114	402	0	0	0	0	0	0	0	0	0	14	0	0	3307	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	9014	0	181	0	0	0	0	1897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.1.1.38	0	0	0	1829	89	0	4	0	5420	2857	48	68	795	4165	39	131	0	17649	0	0	0	134	7	555	0	0	485	664	3336	9	5	0	148	947	37	0	1379	58479	3294	8	9208	292	7	244	0	20	62517	5	0	0	0	4	0	8	0	0	19	4346	0	4085	0	594	9	0	355	5	0	21150	0	354	37	1525	0	0	1723	0	0	6	4	62	0	0	2	6	0	19	2462	0	3935	0	242	6	2261
