CARD	ODIWGS86	ODIWGS87	ODIWGS88	ODIWGS89	ODIWGS10	ODIWGS11	ODIWGS12	ODIWGS13	ODIWGS14	ODIWGS15	ODIWGS16	ODIWGS17	ODIWGS30	ODIWGS18	ODIWGS31	ODIWGS32	ODIWGS19	ODIWGS33	ODIWGS34	ODIWGS35	ODIWGS36	ODIWGS50	ODIWGS37	ODIWGS51	ODIWGS38	ODIWGS52	ODIWGS39	ODIWGS53	ODIWGS54	ODIWGS55	ODIWGS56	ODIWGS70	ODIWGS57	ODIWGS71	ODIWGS58	ODIWGS72	ODIWGS59	ODIWGS73	ODIWGS74	ODIWGS75	ODIWGS76	ODIWGS90	ODIWGS77	ODIWGS91	ODIWGS78	ODIWGS92	ODIWGS79	ODIWGS93	ODIWGS01	ODIWGS02	ODIWGS03	ODIWGS04	ODIWGS05	ODIWGS06	ODIWGS07	ODIWGS20	ODIWGS08	ODIWGS21	ODIWGS09	ODIWGS22	ODIWGS23	ODIWGS24	ODIWGS25	ODIWGS26	ODIWGS40	ODIWGS27	ODIWGS41	ODIWGS28	ODIWGS42	ODIWGS29	ODIWGS43	ODIWGS44	ODIWGS45	ODIWGS46	ODIWGS60	ODIWGS47	ODIWGS61	ODIWGS48	ODIWGS62	ODIWGS49	ODIWGS63	ODIWGS64	ODIWGS65	ODIWGS66	ODIWGS80	ODIWGS67	ODIWGS81	ODIWGS68	ODIWGS82	ODIWGS69	ODIWGS83	ODIWGS84	ODIWGS85
MCR-7.1 [ARO:3004517]	0	1	0	0	0	0	0	7	2	0	8	0	0	1	0	0	0	1	0	0	0	0	27	0	3	0	0	0	0	0	0	2	0	1	0	0	0	0	0	64	0	0	0	40	0	0	0	0	0	0	0	54	7	0	0	0	0	0	3	0	0	0	0	0	0	11	167	6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	343	0	0	1	0	0
OXA-230 [ARO:3001693]	0	5	0	37	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ALG11-1 [ARO:3006892]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adeK [ARO:3000782]	0	0	0	0	0	0	0	4	38	0	12	0	0	20	0	0	0	8	3	0	0	0	1	0	3	0	0	0	0	0	0	2	0	3	0	3	1	0	0	70	0	0	0	48	0	0	0	0	0	0	0	73	15	0	0	0	15	0	1	0	0	1	0	0	0	11	196	11	0	0	0	0	0	0	0	0	0	0	17	0	0	28	0	0	1	0	0	296	0	0	0	1	0
QepA1 [ARO:3000448]	0	3	0	10	21	0	0	22	17	0	0	0	0	115	0	0	0	0	10	0	0	0	8	0	132	0	3	0	0	0	0	0	0	0	35	13	0	0	12	0	0	0	0	0	0	0	0	7	0	0	0	41	7	0	0	0	2	0	140	0	0	0	0	0	0	0	12	0	0	21	0	26	0	0	41	85	0	0	2	0	1	0	0	0	0	0	0	164	0	0	0	1	0
mefC [ARO:3003745]	0	86	0	30	43	0	21	35	41	0	0	1	0	53	0	1	0	80	18	26	0	0	32	0	50	0	33	30	0	0	0	0	0	0	55	13	0	0	3	0	0	0	0	20	0	0	0	46	0	0	0	135	18	5	0	0	0	0	104	17	0	1	0	0	0	38	0	2	0	7	0	3	0	0	36	0	0	0	8	0	0	0	2	0	9	0	0	45	0	0	0	0	0
MexV [ARO:3003030]	0	0	0	0	0	0	6	0	11	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RbpA [ARO:3000245]	0	150	0	15	81	0	0	60	73	0	0	0	0	167	0	0	0	0	119	0	0	0	0	0	85	0	4	0	0	0	0	0	0	0	17	133	0	0	0	0	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	23	0	0	0	5	0	0	0	0	2	4	0	0	0	0	0	0	12	1	15	0	0	38	0	0	0	0	0
OXA-183 [ARO:3001475]	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAC(6')-I30 [ARO:3002588]	0	0	0	17	2	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	16	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
